Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 8
State Setting: INVENTORY
Reward function: VALUE_ADD
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
-16729.279706	0.817680	0.077348	0.104972	
149562.712947	0.922652	0.055249	0.022099	
158864.547534	0.900552	0.077348	0.022099	
40919.801683	0.839779	0.055249	0.104972	
153769.383757	0.917127	0.049724	0.033149	
159927.100187	0.933702	0.049724	0.016575	
150350.455760	0.917127	0.066298	0.016575	
126276.384787	0.878453	0.104972	0.016575	
94193.087999	0.883978	0.104972	0.011050	
85037.719078	0.850829	0.121547	0.027624	
163926.939909	0.939227	0.038674	0.022099	
116084.753136	0.889503	0.093923	0.016575	
-42797.277029	0.723757	0.143646	0.132597	
141692.349391	0.939227	0.055249	0.005525	
121365.484370	0.861878	0.116022	0.022099	
154438.690805	0.922652	0.066298	0.011050	
161470.116393	0.950276	0.044199	0.005525	
126451.029170	0.845304	0.110497	0.044199	
138314.862479	0.895028	0.104972	0.000000	
131388.708489	0.922652	0.071823	0.005525	
128844.093871	0.878453	0.104972	0.016575	
118207.079839	0.867403	0.066298	0.066298	
147298.349503	0.933702	0.060773	0.005525	
128973.215008	0.906077	0.082873	0.011050	
138750.935614	0.900552	0.071823	0.027624	
98449.483823	0.878453	0.099448	0.022099	
165260.116317	0.944751	0.044199	0.011050	
135383.785367	0.889503	0.088398	0.022099	
138043.303261	0.906077	0.055249	0.038674	
120645.942245	0.889503	0.104972	0.005525	
134026.267673	0.900552	0.099448	0.000000	
141214.419200	0.900552	0.077348	0.022099	
153697.940098	0.933702	0.066298	0.000000	
154212.551299	0.911602	0.077348	0.011050	
122299.448268	0.872928	0.104972	0.022099	
144718.398380	0.928177	0.055249	0.016575	
106815.202736	0.834254	0.132597	0.033149	
144942.957624	0.928177	0.055249	0.016575	
125419.119382	0.889503	0.099448	0.011050	
101029.445651	0.861878	0.138122	0.000000	
154763.176671	0.928177	0.055249	0.016575	
149311.862735	0.911602	0.066298	0.022099	
144522.843115	0.906077	0.077348	0.016575	
167602.096301	0.939227	0.055249	0.005525	
159044.056789	0.944751	0.044199	0.011050	
130957.758367	0.895028	0.093923	0.011050	
150562.688846	0.911602	0.060773	0.027624	
146558.321621	0.922652	0.060773	0.016575	
143431.104360	0.906077	0.077348	0.016575	
166737.842124	0.950276	0.038674	0.011050	
154033.473070	0.950276	0.049724	0.000000	
121027.620026	0.872928	0.116022	0.011050	
